Authors,Year,Title,Journal,PMID,PMCID
"Ahmad S, Glavas NA, Bragg PD",1993,Assembly of multimeric proteins. Effect of mutations in the alpha-subunit on membrane assembly and activity of pyridine nucleotide transhydrogenase.,J Mol Biol 234(1);8-13,8230209,
Bragg PD,1996,Mechanism of hydride transfer during the reduction of 3-acetylpyridine adenine dinucleotide by NADH catalyzed by the pyridine nucleotide transhydrogenase of Escherichia coli.,FEBS Lett 397(1);93-6,8941721,
"Zhang J, Hu X, Osman AM, Rydstrom J",1997,Effects of metal ions on the substrate-specificity and activity of proton-pumping nicotinamide nucleotide transhydrogenase from Escherichia coli.,Biochim Biophys Acta 1319(2-3);331-9,9131054,
"Johansson C, Bergkvist A, Fjellstrom O, Rydstrom J, Karlsson BG",1999,NMR characterization of the NADP(H)-binding domain of Escherichia coli transhydrogenase: sequential assignment and global fold.,FEBS Lett 458(2);180-4,10481061,
"Clarke DM, Bragg PD",1985,Cloning and expression of the transhydrogenase gene of Escherichia coli.,J Bacteriol 162(1);367-73,3884596,PMC218998
"Zoller J, Hong S, Eisinger ML, Anderson M, Radloff M, Desch K, Gennis R, Langer JD",2022,Ligand binding and conformational dynamics of the  E. coli nicotinamide nucleotide transhydrogenase revealed by hydrogen/deuterium exchange mass spectrometry.,Comput Struct Biotechnol J 20;5430-5439,36212541,PMC9529548
"Rydstrom J, Hu X, Fjellstrom O, Meuller J, Zhang J, Johansson C, Bizouarn T",1998,"Domains, specific residues and conformational states involved in hydride ion transfer and proton pumping by nicotinamide nucleotide transhydrogenase from Escherichia coli.",Biochim Biophys Acta 1365(1-2);10-6,9693716,
"Bragg PD, Hou C",2000,Crosslinking between alpha and beta subunits defines the orientation and spatial relationship of some of the transmembrane helices of the proton-translocating pyridine nucleotide transhydrogenase of Escherichia coli.,Biochem Biophys Res Commun 273(3);955-9,10891354,
"Glavas NA, Bragg PD",1995,Evidence for the presence of two pyridine nucleotide-binding sites on the beta subunit of the Escherichia coli pyridine nucleotide transhydrogenase.,Biochem Mol Biol Int 35(2);297-306,7663384,
"Diggle C, Cotton NP, Grimley RL, Quirk PG, Thomas CM, Jackson JB",1995,Conformational dynamics of a mobile loop in the NAD(H)-binding subunit of proton-translocating transhydrogenases from Rhodospirillum rubrum and Escherichia coli.,Eur J Biochem 232(1);315-26,7556167,
"Holmberg E, Olausson T, Hultman T, Rydstrom J, Ahmad S, Glavas NA, Bragg PD",1994,Prediction and site-specific mutagenesis of residues in transmembrane alpha-helices of proton-pumping nicotinamide nucleotide transhydrogenases from Escherichia coli and bovine heart mitochondria.,Biochemistry 33(24);7691-700,8011636,
"Park JY, Lee SM, Ebrahim A, Scott-Nevros ZK, Kim J, Yang L, Sastry A, Seo SW, Palsson BO, Kim D",2023,Model-driven experimental design workflow expands understanding of regulatory role of Nac in  Escherichia coli.,NAR Genom Bioinform 5(1);lqad006,36685725,PMC9853098
"Bergkvist A, Johansson C, Johansson T, Rydstrom J, Karlsson BG",2000,Interactions of the NADP(H)-binding domain III of proton-translocating transhydrogenase from escherichia coli with NADP(H) and the NAD(H)-binding domain I studied by NMR and site-directed mutagenesis.,Biochemistry 39(41);12595-605,11027139,
"Johansson T, Oswald C, Pedersen A, Tornroth S, Okvist M, Karlsson BG, Rydstrom J, Krengel U",2005,X-ray structure of domain I of the proton-pumping membrane protein transhydrogenase from Escherichia coli.,J Mol Biol 352(2);299-312,16083909,
"Johansson C, Pedersen A, Karlsson BG, Rydstrom J",2002,Redox-sensitive loops D and E regulate NADP(H) binding in domain III and domain I-domain III interactions in proton-translocating Escherichia coli transhydrogenase.,Eur J Biochem 269(18);4505-15,12230562,
"Aquino P, Honda B, Jaini S, Lyubetskaya A, Hosur K, Chiu JG, Ekladious I, Hu D, Jin L, Sayeg MK, Stettner AI, Wang J, Wong BG, Wong WS, Alexander SL, Ba C, Bensussen SI, Bernstein DB, Braff D, Cha S, Cheng DI, Cho JH, Chou K, Chuang J, Gastler DE, Grasso DJ, Greifenberger JS, Guo C, Hawes AK, Israni DV, Jain SR, Kim J, Lei J, Li H, Li D, Li Q, Mancuso CP, Mao N, Masud SF, Meisel CL, Mi J, Nykyforchyn CS, Park M, Peterson HM, Ramirez AK, Reynolds DS, Rim NG, Saffie JC, Su H, Su WR, Su Y, Sun M, Thommes MM, Tu T, Varongchayakul N, Wagner TE, Weinberg BH, Yang R, Yaroslavsky A, Yoon C, Zhao Y, Zollinger AJ, Stringer AM, Foster JW, Wade J, Raman S, Broude N, Wong WW, Galagan JE",2017,Coordinated regulation of acid resistance in Escherichia coli.,BMC Syst Biol 11(1);1,28061857,PMC5217608
"Cotton NP, White SA, Peake SJ, McSweeney S, Jackson JB",2001,The crystal structure of an asymmetric complex of the two nucleotide binding components of proton-translocating transhydrogenase.,Structure 9(2);165-76,11250201,
"Fjellstrom O, Axelsson M, Bizouarn T, Hu X, Johansson C, Meuller J, Rydstrom J",1999,Mapping of residues in the NADP(H)-binding site of proton-translocating nicotinamide nucleotide transhydrogenase from Escherichia coli. A study of structure and function.,J Biol Chem 274(10);6350-9,10037725,
